"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"40","10","6257","","6003","0","","86",""
"40","4","6258","","6005","0","","174",""
"40","3","6259","","6005","0","","174",""
"100","8","626","","77103","0","","23",""
"3","8","6260","","1130","1","","233",""
"3","7","6261","","1130","1","","233",""
"3","6","6262","","1130","1","","233",""
"3","5","6263","","1130","1","","233",""
"3","9","6264","","1130","1","","233",""
"3","10","6265","","1130","1","","233",""
"3","16","6266","","1130","1","","233",""
"19","3","6267","","8044","1","","244",""
"19","2","6268","","8044","1","","244",""
"19","1","6269","","8044","1","","244",""
"100","10","627","","77110","0","","23",""
"19","8","6270","","8044","1","","244",""
"19","7","6271","","8044","1","","244",""
"19","6","6272","","8044","1","","244",""
"19","5","6273","","8044","1","","244",""
"19","9","6274","","8044","1","","244",""
"19","10","6275","","8044","1","","244",""
"19","4","6276","","8052","1","","244",""
"19","3","6277","","8052","1","","244",""
"19","2","6278","","8052","1","","244",""
"19","1","6279","","8052","1","","244",""
"100","5","628","","77104","0","","23",""
"19","8","6280","","8052","1","","244",""
"19","7","6281","","8052","1","","244",""
"21","10","6282","","65802","1","","478",""
"21","4","6283","","65803","1","","478",""
"21","6","6284","","65803","1","","478",""
"21","5","6285","","65803","1","","478",""
"21","9","6286","","65803","1","","478",""
"21","10","6287","","65803","1","","478",""
"51","2","6288","","35110","0","","63",""
"51","1","6289","","35110","0","","63",""
"100","5","629","","77110","0","","23",""
"51","8","6290","","35110","0","","63",""
"51","7","6291","","35110","0","","63",""
"51","6","6292","","35110","0","","63",""
"51","5","6293","","35110","0","","63",""
"51","9","6294","","35110","0","","63",""
"51","10","6295","","35110","0","","63",""
"45","10","6296","","71102","0","","508",""
"45","4","6297","","71114","0","","551",""
"45","2","6298","","71114","0","","551",""
"45","9","6299","","71114","0","","551",""
"46","64","63","","75202","1","","454",""
"100","2","630","","77103","0","","23",""
"45","10","6300","","71114","0","","551",""
"45","4","6301","","71702","0","","550",""
"45","1","6302","","71106","0","","450",""
"14","7","6303","","76203","1","","576",""
"14","10","6304","","76203","1","","576",""
"14","4","6305","","76801","1","","509",""
"14","6","6306","","76801","1","","509",""
"14","5","6307","","76801","1","","509",""
"14","9","6308","","76801","1","","509",""
"14","4","6309","","76202","1","","576",""
"100","3","631","","77103","0","","23",""
"14","3","6310","","76202","1","","576",""
"14","2","6311","","76202","1","","576",""
"45","10","6312","","71110","0","","450",""
"14","1","6313","","76202","1","","576",""
"57","4","6314","","52117","0","","15",""
"18","4","6315","","5051","0","","173",""
"18","3","6316","","5051","0","","173",""
"18","2","6317","","5051","0","","173",""
"18","1","6318","","5051","0","","173",""
"18","8","6319","","5051","0","","173",""
"100","6","632","","77104","0","","23",""
"18","7","6320","","5051","0","","173",""
"18","6","6321","","5051","0","","173",""
"18","5","6322","","5051","0","","173",""
"18","9","6323","","5051","0","","173",""
"18","10","6324","","5051","0","","173",""
"18","16","6325","","5051","0","","173",""
"57","3","6326","","52117","0","","15",""
"57","2","6327","","52117","0","","15",""
"57","10","6328","","52711","0","","406",""
"57","1","6329","","52117","0","","15",""
"100","7","633","","77104","0","","23",""
"57","8","6330","","52117","0","","15",""
"57","7","6331","","52117","0","","15",""
"57","6","6332","","52117","0","","15",""
"24","15","6333","","36101","0","","132",""
"24","3","6334","","36101","0","","132",""
"24","2","6335","","36101","0","","132",""
"24","13","6336","","36101","0","","132",""
"24","12","6337","","36101","0","","132",""
"24","11","6338","","36101","0","","132",""
"24","20","6339","","36101","0","","132",""
"100","8","634","","77104","0","","23",""
"24","19","6340","","36101","0","","132",""
"24","30","6341","","36101","0","","132",""
"24","14","6342","","36101","0","","132",""
"24","15","6343","","36102","0","","132",""
"46","46","6344","","75207","1","","454",""
"46","62","6345","","75104","0","","223",""
"46","64","6346","","75104","0","","223",""
"19","10","6347","","8010","1","","244",""
"40","8","6348","","6181","0","","248",""
"40","7","6349","","6181","0","","248",""
"57","4","635","","52712","0","","690",""
"40","6","6350","","6181","0","","248",""
"40","5","6351","","6181","0","","248",""
"40","9","6352","","6181","0","","248",""
"40","10","6353","","6181","0","","248",""
"40","16","6354","","6181","0","","248",""
"26","1","6355","","53105","0","","99",""
"26","8","6356","","53105","0","","99",""
"26","7","6357","","53105","0","","99",""
"26","6","6358","","53105","0","","99",""
